category,words
compare,fastest 
relativ,fastest 
motion,fastest 
time,fastest 
adj,fat 
bio,fat 
body,fat 
health,fat 
ingest,fat 
affect,fatal* 
negemo,fatal* 
focusfuture,fate 
focusfuture,fated 
focusfuture,fates 
social,father* 
family,father* 
male,father* 
affect,fatigu* 
negemo,fatigu* 
sad,fatigu* 
bio,fatigu* 
health,fatigu* 
bio,fats 
health,fats 
ingest,fats 
bio,fatted 
ingest,fatted 
bio,fatten* 
body,fatten* 
health,fatten* 
ingest,fatten* 
adj,fatter 
compare,fatter 
bio,fatter 
body,fatter 
health,fatter 
ingest,fatter 
adj,fattest 
compare,fattest 
adj,fattier 
compare,fattier 
bio,fattier 
body,fattier 
ingest,fattier 
bio,fatties 
body,fatties 
health,fatties 
adj,fattiest 
compare,fattiest 
bio,fattiest 
body,fattiest 
health,fattiest 
ingest,fattiest 
bio,fatty 
body,fatty 
health,fatty 
ingest,fatty 
affect,fault* 
negemo,fault* 
drives,fault* 
risk,fault* 
adj,fav 
affect,fav 
posemo,fav 
adj,fave 
affect,fave 
posemo,fave 
affect,favor 
posemo,favor 
verb,favoring 
affect,favoring 
posemo,favoring 
adj,favorite 
affect,favorite 
posemo,favorite 
affect,favors 
posemo,favors 
affect,favour* 
posemo,favour* 
work,fax* 
social,fb 
drives,fb 
affiliation,fb 
affect,fear 
negemo,fear 
anx,fear 
affect,feared 
negemo,feared 
anx,feared 
affect,fearful* 
negemo,fearful* 
anx,fearful* 
affect,fearing 
negemo,fearing 
anx,fearing 
affect,fearless* 
posemo,fearless* 
drives,fearless* 
reward,fearless* 
affect,fears 
negemo,fears 
anx,fears 
adj,feasible 
cogproc,feasible 
tentat,feasible 
focusfuture,feasible 
relativ,february 
time,february 
verb,fed 
bio,fed 
ingest,fed 
focuspast,fed 
money,fee 
bio,feed 
ingest,feed 
work,feedback 
bio,feeder* 
ingest,feeder* 
bio,feeding* 
ingest,feeding* 
bio,feeds 
ingest,feeds 
verb,feel 
cogproc,feel 
insight,feel 
percept,feel 
feel,feel 
focuspresent,feel 
percept,feelin 
feel,feelin 
verb,feeling 
cogproc,feeling 
insight,feeling 
percept,feeling 
feel,feeling 
cogproc,feelings 
insight,feelings 
percept,feelings 
feel,feelings 
verb,feels 
cogproc,feels 
insight,feels 
percept,feels 
feel,feels 
focuspresent,feels 
money,fees 
bio,feet 
body,feet 
verb,fell 
focuspast,fell 
relativ,fell 
motion,fell 
social,fella 
male,fella 
social,fellow 
friend,fellow 
male,fellow 
social,fellow's 
friend,fellow's 
male,fellow's 
social,fellows 
friend,fellows 
male,fellows 
social,fellowship* 
drives,fellowship* 
affiliation,fellowship* 
verb,felt 
cogproc,felt 
insight,felt 
percept,felt 
feel,felt 
focuspast,felt 
adj,female 
social,female 
female,female 
social,females 
female,females 
adj,feminine 
social,feminine 
female,feminine 
social,femininity 
female,femininity 
social,femme* 
female,femme* 
affect,feroc* 
negemo,feroc* 
anger,feroc* 
affect,festiv* 
posemo,festiv* 
leisure,festiv* 
percept,fetid* 
bio,fetish* 
sexual,fetish* 
affect,feud* 
negemo,feud* 
anger,feud* 
social,feud* 
bio,fever* 
health,fever* 
adj,few 
quant,few 
adj,fewer 
compare,fewer 
quant,fewer 
adj,fewest 
compare,fewest 
quant,fewest 
social,fiance 
family,fiance 
friend,fiance 
male,fiance 
drives,fiance 
affiliation,fiance 
social,fiance's 
family,fiance's 
friend,fiance's 
male,fiance's 
drives,fiance's 
affiliation,fiance's 
social,fiancee* 
family,fiancee* 
friend,fiancee* 
female,fiancee* 
drives,fiancee* 
affiliation,fiancee* 
social,fiances 
friend,fiances 
drives,fiances 
affiliation,fiances 
adj,fiery 
affect,fiery 
negemo,fiery 
anger,fiery 
affect,fiesta* 
posemo,fiesta* 
leisure,fiesta* 
number,fift* 
affect,fight* 
negemo,fight* 
anger,fight* 
social,fight* 
cogproc,figur* 
insight,figur* 
relativ,fill* 
space,fill* 
leisure,film* 
adj,final 
relativ,final 
time,final 
relativ,finale 
time,finale 
drives,finaliz* 
achiev,finaliz* 
work,finaliz* 
function,finally 
adverb,finally 
relativ,finally 
time,finally 
work,finals 
work,financ* 
money,financ* 
verb,find 
cogproc,find 
insight,find 
focuspresent,find 
cogproc,finding 
insight,finding 
cogproc,findings 
insight,findings 
verb,finds 
cogproc,finds 
insight,finds 
adj,fine 
affect,fine 
posemo,fine 
adj,finer 
compare,finer 
affect,finer 
posemo,finer 
adj,finest 
compare,finest 
affect,finest 
posemo,finest 
percept,finger* 
feel,finger* 
bio,finger* 
body,finger* 
verb,finish 
relativ,finish 
time,finish 
verb,finished 
focuspast,finished 
verb,finishes 
focuspresent,finishes 
relativ,finishes 
time,finishes 
verb,finishing 
relativ,finishing 
time,finishing 
focusfuture,finna 
percept,fire 
feel,fire 
affect,fired 
negemo,fired 
work,fired 
home,fireplace* 
work,firing 
number,first 
drives,first 
achiev,first 
relativ,first 
time,first 
drives,first-class 
power,first-class 
number,firstly 
relativ,firstly 
time,firstly 
number,firsts 
drives,firsts 
achiev,firsts 
relativ,firsts 
time,firsts 
leisure,fishing 
relativ,fit 
space,fit 
bio,fitness* 
health,fitness* 
leisure,fitness* 
number,five 
focusfuture,fixin 
focusfuture,fixin' 
percept,fizz* 
percept,flapping 
hear,flapping 
relativ,flapping 
motion,flapping 
adj,flat 
relativ,flat 
space,flat 
leisure,flatscreen* 
affect,flatter* 
posemo,flatter* 
social,flatter* 
percept,flavor* 
percept,flavour* 
affect,flawless* 
posemo,flawless* 
verb,fled 
drives,fled 
risk,fled 
focuspast,fled 
relativ,fled 
motion,fled 
verb,flee 
drives,flee 
risk,flee 
relativ,flee 
motion,flee 
verb,fleeing 
drives,fleeing 
risk,fleeing 
relativ,fleeing 
motion,fleeing 
verb,flees 
drives,flees 
risk,flees 
relativ,flees 
motion,flees 
bio,flesh* 
body,flesh* 
verb,flew 
focuspast,flew 
relativ,flew 
motion,flew 
affect,flexib* 
posemo,flexib* 
percept,flexib* 
feel,flexib* 
relativ,flies 
motion,flies 
relativ,flight* 
motion,flight* 
affect,flirt 
posemo,flirt 
social,flirt 
drives,flirt 
affiliation,flirt 
adj,flirtatious 
affect,flirtatious 
posemo,flirtatious 
social,flirtatious 
drives,flirtatious 
affiliation,flirtatious 
verb,flirted 
social,flirted 
drives,flirted 
affiliation,flirted 
focuspast,flirted 
verb,flirting 
affect,flirting 
posemo,flirting 
social,flirting 
drives,flirting 
affiliation,flirting 
verb,flirts 
affect,flirts 
posemo,flirts 
social,flirts 
drives,flirts 
affiliation,flirts 
focuspresent,flirts 
adj,flirty 
affect,flirty 
posemo,flirty 
social,flirty 
drives,flirty 
affiliation,flirty 
relativ,floor* 
space,floor* 
focuspresent,flow 
relativ,flow 
motion,flow 
verb,flowed 
focuspast,flowed 
relativ,flowed 
motion,flowed 
relativ,flowing 
motion,flowing 
verb,flown 
focuspast,flown 
relativ,flown 
motion,flown 
verb,flows 
focuspresent,flows 
relativ,flows 
motion,flows 
bio,flu 
health,flu 
affect,flunk* 
negemo,flunk* 
sad,flunk* 
drives,flunk* 
achiev,flunk* 
risk,flunk* 
relativ,flutter 
motion,flutter 
verb,fly 
relativ,fly 
motion,fly 
relativ,flying 
motion,flying 
affect,foe* 
negemo,foe* 
anger,foe* 
social,foe* 
social,folks 
family,folks 
verb,follow 
focuspresent,follow 
relativ,follow 
motion,follow 
verb,followed 
focuspast,followed 
relativ,followed 
motion,followed 
social,follower* 
friend,follower* 
drives,follower* 
power,follower* 
verb,following 
relativ,following 
motion,following 
verb,follows 
focuspresent,follows 
relativ,follows 
motion,follows 
relativ,followup* 
time,followup* 
adj,fond 
affect,fond 
posemo,fond 
affect,fondly 
posemo,fondly 
affect,fondness 
posemo,fondness 
bio,food* 
ingest,food* 
affect,fool 
negemo,fool 
social,fool 
affect,fooled 
negemo,fooled 
social,fooled 
focuspast,fooled 
verb,fooling 
affect,fooling 
negemo,fooling 
social,fooling 
adj,foolish 
affect,foolish 
negemo,foolish 
adj,foolishly 
affect,foolishly 
negemo,foolishly 
affect,fools 
negemo,fools 
social,fools 
bio,foot 
body,foot 
leisure,football* 
function,for 
prep,for 
affect,forbade 
negemo,forbade 
drives,forbade 
power,forbade 
verb,forbid 
affect,forbid 
negemo,forbid 
drives,forbid 
power,forbid 
focuspresent,forbid 
adj,forbidden 
affect,forbidden 
negemo,forbidden 
drives,forbidden 
power,forbidden 
affect,forbidding 
negemo,forbidding 
verb,forbids 
affect,forbids 
negemo,forbids 
drives,forbids 
power,forbids 
focuspresent,forbids 
focusfuture,forbod* 
cogproc,force* 
cause,force* 
drives,force* 
power,force* 
bio,forearm* 
body,forearm* 
bio,forehead* 
body,forehead* 
bio,foreplay 
sexual,foreplay 
focusfuture,foresee* 
focusfuture,foreshadow* 
focusfuture,foresight 
cogproc,forever 
certain,forever 
relativ,forever 
time,forever 
affect,forgave 
posemo,forgave 
social,forgave 
cogproc,forgave 
insight,forgave 
verb,forget 
focuspresent,forget 
verb,forgets 
focuspresent,forgets 
verb,forgetting 
affect,forgiv* 
posemo,forgiv* 
social,forgiv* 
cogproc,forgiv* 
insight,forgiv* 
verb,forgot* 
focuspast,forgot* 
social,formal 
adj,former 
compare,former 
focuspast,former 
relativ,former 
time,former 
adj,formerly 
compare,formerly 
focuspast,formerly 
relativ,formerly 
time,formerly 
adj,forseeable 
focusfuture,forseeable 
adj,forthcoming 
focusfuture,forthcoming 
function,fortunately 
adverb,fortunately 
affect,fortunately 
posemo,fortunately 
money,fortune* 
relativ,forward 
motion,forward 
space,forward 
time,forward 
social,forwarded 
focuspast,forwarded 
relativ,forwarded 
motion,forwarded 
space,forwarded 
time,forwarded 
relativ,forwarding 
motion,forwarding 
space,forwarding 
time,forwarding 
relativ,forwards 
motion,forwards 
space,forwards 
time,forwards 
verb,fought 
affect,fought 
negemo,fought 
anger,fought 
social,fought 
focuspast,fought 
verb,found 
cogproc,found 
insight,found 
focuspast,found 
relativ,foundation* 
space,foundation* 
work,foundation* 
cogproc,founded 
cause,founded 
drives,founded 
achiev,founded 
focuspast,founded 
drives,founder* 
achiev,founder* 
drives,founding 
achiev,founding 
number,four* 
percept,fragil* 
feel,fragil* 
percept,fragran* 
percept,frail* 
feel,frail* 
drives,frail* 
power,frail* 
money,franc 
work,franchis* 
money,franchis* 
money,francs 
cogproc,frankly 
certain,frankly 
affect,frantic* 
negemo,frantic* 
anx,frantic* 
drives,frat 
affiliation,frat 
work,frat 
drives,fraternit* 
affiliation,fraternit* 
affect,freak* 
negemo,freak* 
adj,free 
affect,free 
posemo,free 
money,free 
affect,free-think* 
posemo,free-think* 
affect,freed* 
posemo,freed* 
affect,freeing 
posemo,freeing 
affect,freely 
posemo,freely 
affect,frees* 
posemo,frees* 
affect,freethink* 
posemo,freethink* 
percept,freez* 
feel,freez* 
social,frenem* 
adj,frequent 
relativ,frequent 
time,frequent 
verb,frequented 
focuspast,frequented 
relativ,frequented 
time,frequented 
verb,frequenting 
relativ,frequenting 
time,frequenting 
function,frequently 
adverb,frequently 
relativ,frequently 
time,frequently 
verb,frequents 
focuspresent,frequents 
relativ,frequents 
time,frequents 
adj,fresh 
adj,fresher 
compare,fresher 
adj,freshest 
compare,freshest 
drives,freshm* 
power,freshm* 
work,freshm* 
relativ,fri 
time,fri 
relativ,friday* 
time,friday* 
home,fridge* 
social,friend 
friend,friend 
drives,friend 
affiliation,friend 
adj,friendlier 
compare,friendlier 
affect,friendlier 
social,friendlier 
friend,friendlier 
adj,friendliest 
compare,friendliest 
affect,friendliest 
social,friendliest 
friend,friendliest 
affect,friendly 
social,friendly 
friend,friendly 
drives,friendly 
affiliation,friendly 
social,friends 
friend,friends 
drives,friends 
affiliation,friends 
bio,fries 
ingest,fries 
affect,fright* 
negemo,fright* 
anx,fright* 
leisure,frisbee* 
function,from 
prep,from 
relativ,front 
space,front 
percept,froze* 
feel,froze* 
percept,fruit* 
bio,fruit* 
ingest,fruit* 
affect,frustrat* 
negemo,frustrat* 
anger,frustrat* 
bio,fry* 
ingest,fry* 
verb,fuck 
affect,fuck 
negemo,fuck 
anger,fuck 
bio,fuck 
sexual,fuck 
focuspresent,fuck 
bio,fuckboy* 
sexual,fuckboy* 
verb,fucked* 
affect,fucked* 
negemo,fucked* 
anger,fucked* 
bio,fucked* 
sexual,fucked* 
focuspast,fucked* 
affect,fucker* 
negemo,fucker* 
anger,fucker* 
affect,fuckface* 
negemo,fuckface* 
anger,fuckface* 
affect,fuckh* 
negemo,fuckh* 
anger,fuckh* 
adj,fuckin* 
affect,fuckin* 
negemo,fuckin* 
anger,fuckin* 
bio,fuckin* 
sexual,fuckin* 
verb,fucks 
affect,fucks 
negemo,fucks 
anger,fucks 
bio,fucks 
sexual,fucks 
focuspresent,fucks 
affect,fucktard 
negemo,fucktard 
anger,fucktard 
bio,fucktoy* 
sexual,fucktoy* 
affect,fucktwat* 
negemo,fucktwat* 
anger,fucktwat* 
affect,fuckwad* 
negemo,fuckwad* 
anger,fuckwad* 
drives,fulfill* 
achiev,fulfill* 
reward,fulfill* 
adj,full 
relativ,full 
space,full 
adj,fuller 
compare,fuller 
relativ,fuller 
space,fuller 
adj,fullest 
compare,fullest 
relativ,fullest 
space,fullest 
relativ,fullness 
space,fullness 
function,fully 
adverb,fully 
relativ,fully 
space,fully 
affect,fume* 
negemo,fume* 
anger,fume* 
affect,fuming 
negemo,fuming 
anger,fuming 
adj,fun 
affect,fun 
posemo,fun 
leisure,fun 
money,fund 
adj,fundamental 
cogproc,fundamental 
certain,fundamental 
cogproc,fundamentalis* 
certain,fundamentalis* 
relig,fundamentalis* 
cogproc,fundamentally 
certain,fundamentally 
cogproc,fundamentals 
certain,fundamentals 
focuspast,funded 
money,funded 
money,funding 
money,funds 
adj,funner 
compare,funner 
affect,funner 
posemo,funner 
leisure,funner 
adj,funnest 
compare,funnest 
affect,funnest 
posemo,funnest 
leisure,funnest 
adj,funnier 
compare,funnier 
affect,funnier 
posemo,funnier 
affect,funnies 
posemo,funnies 
leisure,funnies 
adj,funniest 
compare,funniest 
affect,funniest 
posemo,funniest 
affect,funnily 
posemo,funnily 
affect,funniness 
posemo,funniness 
adj,funny 
affect,funny 
posemo,funny 
affect,furious* 
negemo,furious* 
anger,furious* 
home,furniture 
adj,further 
compare,further 
relativ,further 
space,further 
verb,furthering 
relativ,furthering 
space,furthering 
adj,furthest 
compare,furthest 
affect,fury 
negemo,fury 
anger,fury 
home,futon* 
focusfuture,futur* 
relativ,futur* 
time,futur* 
cogproc,fuzz* 
tentat,fuzz* 
percept,fuzz* 
feel,fuzz* 
social,fwb 
friend,fwb 
bio,fwb 
sexual,fwb 
drives,fwb 
affiliation,fwb 
drives,gain* 
achiev,gain* 
reward,gain* 
social,gal 
female,gal 
relativ,gallop 
motion,gallop 
social,gals 
female,gals 
money,gambl* 
social,game* 
drives,game* 
affiliation,game* 
leisure,game* 
leisure,gaming 
social,gang 
friend,gang 
drives,gang 
affiliation,gang 
social,gangs 
friend,gangs 
drives,gangs 
affiliation,gangs 
relativ,gap 
space,gap 
leisure,garage* 
home,garage* 
leisure,garden* 
home,garden* 
relativ,gate* 
space,gate* 
home,gate* 
social,gather* 
drives,gather* 
affiliation,gather* 
verb,gave 
social,gave 
focuspast,gave 
adj,gay 
bio,gay 
sexual,gay 
adj,gayer 
compare,gayer 
adj,gayest 
compare,gayest 
bio,gays 
sexual,gays 
percept,gaz* 
see,gaz* 
money,gbp 
affect,geek* 
negemo,geek* 
adj,general 
function,generally 
adverb,generally 
cogproc,generally 
tentat,generally 
cogproc,generate* 
cause,generate* 
cogproc,generating 
cause,generating 
relativ,generation* 
time,generation* 
cogproc,generator* 
cause,generator* 
affect,genero* 
posemo,genero* 
social,genero* 
bio,genital* 
body,genital* 
sexual,genital* 
social,gent 
male,gent 
relig,gentile* 
adj,gentle 
affect,gentle 
posemo,gentle 
social,gentlem* 
male,gentlem* 
adj,gentler 
compare,gentler 
affect,gentler 
posemo,gentler 
adj,gentlest 
compare,gentlest 
affect,gentlest 
posemo,gentlest 
social,gentlewom* 
female,gentlewom* 
affect,gently 
posemo,gently 
social,gents 
male,gents 
adj,genuine 
cogproc,genuine 
insight,genuine 
cogproc,genuinely 
insight,genuinely 
relativ,gesture* 
motion,gesture* 
verb,get 
drives,get 
reward,get 
focuspresent,get 
verb,gets 
drives,gets 
reward,gets 
focuspresent,gets 
verb,getting 
drives,getting 
reward,getting 
social,gf* 
friend,gf* 
female,gf* 
drives,gf* 
affiliation,gf* 
adj,giant 
relativ,giant 
space,giant 
adj,gigantic 
relativ,gigantic 
space,gigantic 
affect,giggl* 
posemo,giggl* 
bio,gigolo* 
sexual,gigolo* 
adj,ginormous 
relativ,ginormous 
space,ginormous 
social,girl 
female,girl 
social,girl's 
female,girl's 
social,girlfriend* 
friend,girlfriend* 
drives,girlfriend* 
affiliation,girlfriend* 
social,girlh* 
female,girlh* 
social,girli* 
female,girli* 
social,girls* 
female,girls* 
adj,girly 
social,girly 
female,girly 
verb,give 
social,give 
focuspresent,give 
verb,given 
focuspast,given 
affect,giver* 
posemo,giver* 
social,giver* 
verb,gives 
social,gives 
focuspresent,gives 
verb,giving 
affect,giving 
posemo,giving 
social,giving 
adj,glad 
affect,glad 
posemo,glad 
affect,gladly 
posemo,gladly 
affect,glamor* 
posemo,glamor* 
affect,glamour* 
posemo,glamour* 
percept,glanc* 
see,glanc* 
bio,gland* 
health,gland* 
bio,glaucoma 
health,glaucoma 
relativ,glide 
motion,glide 
verb,glided 
focuspast,glided 
verb,glides 
focuspresent,glides 
verb,gliding 
relativ,gliding 
motion,gliding 
relativ,global* 
space,global* 
affect,gloom 
negemo,gloom 
sad,gloom 
percept,gloom 
see,gloom 
adj,gloomier 
compare,gloomier 
affect,gloomier 
negemo,gloomier 
sad,gloomier 
percept,gloomier 
see,gloomier 
adj,gloomiest 
compare,gloomiest 
affect,gloomiest 
negemo,gloomiest 
sad,gloomiest 
percept,gloomiest 
see,gloomiest 
affect,gloomily 
negemo,gloomily 
sad,gloomily 
percept,gloomily 
see,gloomily 
affect,gloominess 
negemo,gloominess 
sad,gloominess 
percept,gloominess 
see,gloominess 
affect,gloomy 
negemo,gloomy 
sad,gloomy 
percept,gloomy 
see,gloomy 
affect,glori* 
posemo,glori* 
drives,glori* 
power,glori* 
affect,glory 
posemo,glory 
drives,glory 
achiev,glory 
power,glory 
percept,glow* 
see,glow* 
bio,glutton* 
ingest,glutton* 
work,gmat 
verb,go 
focuspresent,go 
relativ,go 
motion,go 
drives,goal* 
achiev,goal* 
reward,goal* 
work,goal* 
bio,gobble* 
ingest,gobble* 
bio,gobbling 
ingest,gobbling 
drives,god 
power,god 
relig,god 
drives,god's 
power,god's 
relig,god's 
affect,goddam* 
negemo,goddam* 
anger,goddam* 
social,goddess* 
female,goddess* 
drives,goddess* 
power,goddess* 
relig,goddess* 
social,godfather* 
family,godfather* 
male,godfather* 
social,godmother 
family,godmother 
female,godmother 
social,godparent 
family,godparent 
verb,goes 
focuspresent,goes 
relativ,goes 
motion,goes 
verb,going 
focusfuture,going 
relativ,going 
motion,going 
leisure,golf* 
verb,gon 
focusfuture,gon 
relativ,gon 
motion,gon 
verb,gone 
focuspast,gone 
relativ,gone 
motion,gone 
verb,gonna 
focusfuture,gonna 
relativ,gonna 
motion,gonna 
bio,gonorrhea* 
health,gonorrhea* 
sexual,gonorrhea* 
affect,good 
posemo,good 
drives,good 
reward,good 
adj,good-for-nothing 
affect,good-for-nothing 
negemo,good-for-nothing 
drives,good-for-nothing 
power,good-for-nothing 
social,goodbye 
affect,goodness 
posemo,goodness 
verb,googled 
focuspast,googled 
verb,googles 
focuspresent,googles 
verb,googling 
percept,goosebump* 
feel,goosebump* 
bio,goosebump* 
body,goosebump* 
adj,gorgeous 
affect,gorgeous 
posemo,gorgeous 
affect,gorgeously 
posemo,gorgeously 
affect,gorgeousness 
posemo,gorgeousness 
relig,gospel* 
affect,gossip* 
negemo,gossip* 
social,gossip* 
drives,gossip* 
affiliation,gossip* 
verb,got 
drives,got 
reward,got 
focuspast,got 
verb,gotta 
focusfuture,gotta 
verb,gotten 
drives,gotten 
reward,gotten 
focuspast,gotten 
work,gov 
drives,govern* 
power,govern* 
work,govern* 
drives,gpa 
achiev,gpa 
work,gpa 
verb,grab* 
percept,grab* 
feel,grab* 
affect,grace 
posemo,grace 
affect,graced 
posemo,graced 
focuspast,graced 
affect,graceful* 
posemo,graceful* 
affect,graces 
posemo,graces 
affect,graci* 
posemo,graci* 
work,grad 
work,grade* 
work,grading 
work,graduat* 
social,gramp* 
family,gramp* 
male,gramp* 
adj,grand 
affect,grand 
posemo,grand 
social,grandchil* 
family,grandchil* 
social,granddad* 
family,granddad* 
male,granddad* 
social,granddau* 
family,granddau* 
female,granddau* 
affect,grande* 
posemo,grande* 
social,grandfath* 
family,grandfath* 
male,grandfath* 
social,grandkid* 
family,grandkid* 
social,grandm* 
family,grandm* 
female,grandm* 
social,grandpa* 
family,grandpa* 
male,grandpa* 
social,grandson* 
family,grandson* 
male,grandson* 
social,granny 
family,granny 
female,granny 
percept,graphic* 
see,graphic* 
cogproc,grasp* 
insight,grasp* 
percept,grasp* 
feel,grasp* 
affect,gratef* 
posemo,gratef* 
affect,grati* 
posemo,grati* 
affect,grave* 
negemo,grave* 
sad,grave* 
verb,gravitate* 
relativ,gravitate* 
motion,gravitate* 
verb,gravitating 
adj,gray 
percept,gray 
see,gray 
work,gre 
percept,greas* 
adj,great 
affect,great 
posemo,great 
drives,great 
reward,great 
adj,greater 
compare,greater 
affect,greater 
posemo,greater 
adj,greatest 
compare,greatest 
affect,greatest 
posemo,greatest 
drives,greatest 
power,greatest 
affect,greatness 
posemo,greatness 
drives,greatness 
power,greatness 
affect,greed* 
negemo,greed* 
anger,greed* 
drives,greed* 
power,greed* 
reward,greed* 
money,greed* 
adj,green 
percept,green 
see,green 
social,greet* 
drives,greet* 
affiliation,greet* 
verb,grew 
focuspast,grew 
relativ,grew 
motion,grew 
adj,grey 
percept,grey 
see,grey 
affect,grief 
negemo,grief 
sad,grief 
affect,griev* 
negemo,griev* 
sad,griev* 
adj,grim 
affect,grim 
negemo,grim 
sad,grim 
affect,grimac* 
negemo,grimac* 
affect,grimly 
negemo,grimly 
sad,grimly 
affect,grin 
posemo,grin 
affect,grinn* 
posemo,grinn* 
affect,grins 
posemo,grins 
percept,grip 
feel,grip 
percept,gripp* 
feel,gripp* 
percept,grips 
feel,grips 
social,grl* 
female,grl* 
bio,grocer* 
ingest,grocer* 
social,groom'* 
male,groom'* 
adj,gross 
affect,gross 
negemo,gross 
affect,grossed 
negemo,grossed 
focuspast,grossed 
adj,grosser 
compare,grosser 
affect,grosser 
negemo,grosser 
adj,grossest 
compare,grossest 
affect,grossest 
negemo,grossest 
verb,grossing 
affect,grossing 
negemo,grossing 
affect,grossly 
negemo,grossly 
affect,grossness 
negemo,grossness 
affect,grouch* 
negemo,grouch* 
anger,grouch* 
relativ,ground* 
space,ground* 
quant,group* 
social,group* 
drives,group* 
affiliation,group* 
verb,grow 
focuspresent,grow 
relativ,grow 
motion,grow 
verb,growing 
relativ,growing 
motion,growing 
focuspast,grown 
relativ,grown 
motion,grown 
social,grown-up* 
drives,grown-up* 
power,grown-up* 
social,grownup* 
drives,grownup* 
power,grownup* 
relativ,growth 
motion,growth 
affect,grr* 
negemo,grr* 
anger,grr* 
affect,grudg* 
negemo,grudg* 
anger,grudg* 
social,grudg* 
cogproc,guarant* 
certain,guarant* 
drives,guard* 
risk,guard* 
verb,guess 
cogproc,guess 
tentat,guess 
focuspresent,guess 
verb,guessed 
cogproc,guessed 
tentat,guessed 
focuspast,guessed 
verb,guesses 
cogproc,guesses 
tentat,guesses 
focuspresent,guesses 
verb,guessing 
cogproc,guessing 
tentat,guessing 
social,guest* 
friend,guest* 
drives,guild* 
affiliation,guild* 
affect,guilt 
negemo,guilt 
anx,guilt 
affect,guilt-trip* 
negemo,guilt-trip* 
anx,guilt-trip* 
adj,guiltier 
compare,guiltier 
affect,guiltier 
negemo,guiltier 
adj,guiltiest 
compare,guiltiest 
affect,guiltiest 
negemo,guiltiest 
adj,guilty 
affect,guilty 
negemo,guilty 
anx,guilty 
leisure,guitar* 
bio,gulp* 
ingest,gulp* 
bio,gums 
body,gums 
function,gunna 
auxverb,gunna 
verb,gunna 
focusfuture,gunna 
social,gurl* 
female,gurl* 
bio,gut 
body,gut 
bio,guts 
body,guts 
social,guy* 
friend,guy* 
male,guy* 
leisure,gym* 
bio,gynecolog* 
health,gynecolog* 
bio,gyno* 
health,gyno* 
affect,ha 
posemo,ha 
function,had 
auxverb,had 
verb,had 
focuspast,had 
function,hadn't 
auxverb,hadn't 
negate,hadn't 
verb,hadn't 
focuspast,hadn't 
function,hadnt 
auxverb,hadnt 
negate,hadnt 
verb,hadnt 
focuspast,hadnt 
affect,hah 
posemo,hah 
affect,haha* 
posemo,haha* 
drives,hai 
affiliation,hai 
percept,haircut 
bio,haircut 
body,haircut 
percept,hairless* 
feel,hairless* 
bio,hairless* 
body,hairless* 
percept,hairs 
feel,hairs 
bio,hairs 
body,hairs 
adj,hairy 
percept,hairy 
feel,hairy 
bio,hairy 
body,hairy 
number,half 
cogproc,half-ass* 
tentat,half-ass* 
cogproc,halfass* 
tentat,halfass* 
relativ,hall 
space,hall 
percept,hallucinat* 
bio,hallucinat* 
health,hallucinat* 
bio,hamstring* 
body,hamstring* 
percept,hand 
feel,hand 
bio,hand 
body,hand 
percept,handful* 
feel,handful* 
percept,hands 
feel,hands 
bio,hands 
body,hands 
social,handshake 
drives,handshake 
affiliation,handshake 
adj,handsome 
affect,handsome 
posemo,handsome 
affect,handsomely 
posemo,handsomely 
adj,handsomest 
compare,handsomest 
affect,handsomest 
posemo,handsomest 
verb,hang 
focuspresent,hang 
relativ,hang 
motion,hang 
leisure,hangin* 
social,hangout* 
drives,hangout* 
affiliation,hangout* 
leisure,hangout* 
affect,hangover* 
negemo,hangover* 
bio,hangover* 
health,hangover* 
verb,happen 
focuspresent,happen 
verb,happened 
focuspast,happened 
verb,happening 
relativ,happening 
time,happening 
verb,happens 
focuspresent,happens 
adj,happier 
compare,happier 
affect,happier 
posemo,happier 
adj,happiest 
compare,happiest 
affect,happiest 
posemo,happiest 
affect,happily 
posemo,happily 
affect,happiness 
posemo,happiness 
adj,happy 
affect,happy 
posemo,happy 
affect,harass* 
negemo,harass* 
anger,harass* 
adj,hard 
percept,hard 
feel,hard 
bio,hard-on* 
sexual,hard-on* 
percept,harden 
feel,harden 
adj,harder 
compare,harder 
percept,harder 
feel,harder 
adj,hardest 
compare,hardest 
percept,hardest 
feel,hardest 
function,hardly 
adverb,hardly 
cogproc,hardly 
tentat,hardly 
work,hardwork* 
affect,harm 
negemo,harm 
affect,harmed 
negemo,harmed 
focuspast,harmed 
adj,harmful 
affect,harmful 
negemo,harmful 
affect,harmfully 
negemo,harmfully 
affect,harmfulness 
negemo,harmfulness 
verb,harming 
affect,harming 
negemo,harming 
affect,harmless* 
affect,harmon* 
posemo,harmon* 
percept,harmon* 
hear,harmon* 
verb,harms 
affect,harms 
negemo,harms 
focuspresent,harms 
affect,harsh 
negemo,harsh 
percept,harsh 
feel,harsh 
function,has 
auxverb,has 
verb,has 
focuspresent,has 
relig,hashanah 
function,hasn't 
auxverb,hasn't 
negate,hasn't 
verb,hasn't 
cogproc,hasn't 
differ,hasn't 
focuspresent,hasn't 
function,hasnt 
auxverb,hasnt 
negate,hasnt 
verb,hasnt 
cogproc,hasnt 
differ,hasnt 
focuspresent,hasnt 
verb,hate 
affect,hate 
negemo,hate 
anger,hate 
focuspresent,hate 
verb,hated 
affect,hated 
negemo,hated 
anger,hated 
focuspast,hated 
